Word,Type,Importance_Score
claim,SCAM_SIGNAL,1.077
pay,SCAM_SIGNAL,0.914
net,SCAM_SIGNAL,0.86
uk,SCAM_SIGNAL,0.856
hmrc,SCAM_SIGNAL,0.826
dvla,SCAM_SIGNAL,0.756
rebate,SCAM_SIGNAL,0.704
amazon,SCAM_SIGNAL,0.704
tax,SCAM_SIGNAL,0.702
now,SCAM_SIGNAL,0.681
verify,SCAM_SIGNAL,0.665
natwest,SCAM_SIGNAL,0.641
winner,SCAM_SIGNAL,0.621
immediately,SCAM_SIGNAL,0.605
congratulations,SCAM_SIGNAL,0.595
in,LEGITIMATE_SIGNAL,1.203
the,LEGITIMATE_SIGNAL,1.203
app,LEGITIMATE_SIGNAL,0.969
reminder,LEGITIMATE_SIGNAL,0.924
on,LEGITIMATE_SIGNAL,0.891
for,LEGITIMATE_SIGNAL,0.869
order,LEGITIMATE_SIGNAL,0.847
in the,LEGITIMATE_SIGNAL,0.83
25,LEGITIMATE_SIGNAL,0.695
it,LEGITIMATE_SIGNAL,0.695
with,LEGITIMATE_SIGNAL,0.691
new,LEGITIMATE_SIGNAL,0.66
is booked,LEGITIMATE_SIGNAL,0.651
booked,LEGITIMATE_SIGNAL,0.651
booked for,LEGITIMATE_SIGNAL,0.651
