Word,Type,Importance_Score
claim,SCAM_SIGNAL,1.078
pay,SCAM_SIGNAL,0.94
net,SCAM_SIGNAL,0.879
uk,SCAM_SIGNAL,0.854
hmrc,SCAM_SIGNAL,0.831
dvla,SCAM_SIGNAL,0.745
rebate,SCAM_SIGNAL,0.711
tax,SCAM_SIGNAL,0.706
amazon,SCAM_SIGNAL,0.699
now,SCAM_SIGNAL,0.677
verify,SCAM_SIGNAL,0.674
natwest,SCAM_SIGNAL,0.643
winner,SCAM_SIGNAL,0.616
update,SCAM_SIGNAL,0.609
immediately,SCAM_SIGNAL,0.606
the,LEGITIMATE_SIGNAL,1.199
in,LEGITIMATE_SIGNAL,1.196
app,LEGITIMATE_SIGNAL,0.976
reminder,LEGITIMATE_SIGNAL,0.907
on,LEGITIMATE_SIGNAL,0.891
for,LEGITIMATE_SIGNAL,0.845
in the,LEGITIMATE_SIGNAL,0.835
order,LEGITIMATE_SIGNAL,0.831
with,LEGITIMATE_SIGNAL,0.683
25,LEGITIMATE_SIGNAL,0.678
new,LEGITIMATE_SIGNAL,0.663
it,LEGITIMATE_SIGNAL,0.652
minutes,LEGITIMATE_SIGNAL,0.626
is booked,LEGITIMATE_SIGNAL,0.623
booked,LEGITIMATE_SIGNAL,0.623
